epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,11332,0.93097,0.98736,0.90136,0.60428,0.64877,0.64584,0.46275,1.06078,1.18795,0.9598,0.004357,0.004357,0.004357
116,11430.5,0.92831,0.98265,0.89342,0.59961,0.65385,0.6462,0.46326,1.0596,1.19041,0.95953,0.0043075,0.0043075,0.0043075
117,11528.9,0.92881,0.98304,0.89779,0.60026,0.65195,0.64532,0.46289,1.0595,1.19087,0.95947,0.004258,0.004258,0.004258
118,11627.5,0.92874,0.98987,0.89433,0.60326,0.65121,0.64534,0.46279,1.0593,1.19272,0.95935,0.0042085,0.0042085,0.0042085
119,11726,0.93082,0.97092,0.89668,0.60316,0.65242,0.64537,0.46375,1.05633,1.19301,0.95872,0.004159,0.004159,0.004159
120,11824.5,0.92063,0.95875,0.8902,0.60202,0.65245,0.6451,0.46405,1.05471,1.19186,0.95813,0.0041095,0.0041095,0.0041095
121,11923,0.91347,0.97541,0.89085,0.60612,0.65242,0.64555,0.46395,1.05375,1.19128,0.95798,0.00406,0.00406,0.00406
122,12021.4,0.92061,0.94564,0.89529,0.61404,0.64701,0.64475,0.46414,1.05272,1.191,0.95754,0.0040105,0.0040105,0.0040105
123,12119.8,0.92896,0.97041,0.89464,0.60872,0.6497,0.64455,0.46541,1.04932,1.19128,0.95672,0.003961,0.003961,0.003961
124,12218.3,0.92001,0.95569,0.89205,0.60036,0.65924,0.64439,0.46446,1.05093,1.19316,0.95728,0.0039115,0.0039115,0.0039115
125,12316.7,0.91392,0.92286,0.88917,0.60226,0.65992,0.64412,0.46417,1.05158,1.1941,0.95724,0.003862,0.003862,0.003862
126,12415.1,0.91746,0.95839,0.89035,0.60148,0.65879,0.64424,0.46445,1.04961,1.1939,0.9565,0.0038125,0.0038125,0.0038125
127,12513.4,0.9142,0.93987,0.89203,0.60095,0.66049,0.64463,0.46517,1.04775,1.19437,0.95613,0.003763,0.003763,0.003763
128,12611.8,0.9125,0.92238,0.89536,0.60776,0.65035,0.64502,0.4653,1.04819,1.19487,0.95616,0.0037135,0.0037135,0.0037135
129,12710.4,0.90947,0.92815,0.8912,0.60948,0.65016,0.64455,0.46463,1.04888,1.19514,0.95623,0.003664,0.003664,0.003664
130,12809,0.89635,0.92083,0.88516,0.6108,0.65104,0.64467,0.46451,1.04873,1.19524,0.95604,0.0036145,0.0036145,0.0036145
131,12907.4,0.90879,0.91879,0.88786,0.61214,0.65062,0.64521,0.46526,1.04681,1.19552,0.95547,0.003565,0.003565,0.003565
132,13005.7,0.89855,0.91349,0.8889,0.61044,0.65016,0.6455,0.46555,1.04582,1.19567,0.9551,0.0035155,0.0035155,0.0035155
133,13104.2,0.894,0.89796,0.89114,0.60582,0.6559,0.64558,0.4655,1.0465,1.19612,0.95525,0.003466,0.003466,0.003466
134,13202.7,0.90066,0.9127,0.88855,0.60846,0.65632,0.64623,0.4657,1.04334,1.19513,0.95429,0.0034165,0.0034165,0.0034165
135,13300.9,0.89892,0.89743,0.88727,0.60925,0.65495,0.64668,0.46675,1.04405,1.19626,0.95441,0.003367,0.003367,0.003367
136,13399.3,0.89836,0.88264,0.88393,0.60594,0.6631,0.64655,0.46771,1.04105,1.19921,0.95357,0.0033175,0.0033175,0.0033175
137,13497.7,0.89122,0.88888,0.88067,0.61945,0.64217,0.6452,0.46669,1.04226,1.20058,0.95381,0.003268,0.003268,0.003268
138,13596.3,0.89853,0.87552,0.8895,0.61852,0.642,0.64599,0.46756,1.04159,1.2029,0.95353,0.0032185,0.0032185,0.0032185
139,13694.7,0.89108,0.88765,0.88527,0.61683,0.642,0.64624,0.46775,1.04256,1.2044,0.9537,0.003169,0.003169,0.003169
140,13793.1,0.8907,0.87502,0.89179,0.61661,0.64507,0.64629,0.46844,1.04016,1.20441,0.95297,0.0031195,0.0031195,0.0031195
141,13891.4,0.87856,0.87148,0.88222,0.61927,0.64585,0.64577,0.46916,1.03498,1.20332,0.95171,0.00307,0.00307,0.00307
142,13989.8,0.87949,0.85736,0.88437,0.61746,0.6453,0.6474,0.47084,1.03529,1.20524,0.95177,0.0030205,0.0030205,0.0030205
143,14088.6,0.875,0.8481,0.88113,0.61423,0.64672,0.64691,0.4708,1.03327,1.20433,0.95122,0.002971,0.002971,0.002971
144,14187.1,0.87836,0.85509,0.88362,0.61382,0.64863,0.64749,0.47203,1.03154,1.20642,0.9508,0.0029215,0.0029215,0.0029215
145,14285.7,0.8758,0.83231,0.88604,0.61425,0.64903,0.64729,0.47142,1.03146,1.2078,0.95063,0.002872,0.002872,0.002872
146,14384.1,0.87617,0.84102,0.88537,0.61508,0.64744,0.64701,0.47144,1.02892,1.20894,0.95001,0.0028225,0.0028225,0.0028225
147,14482.4,0.87474,0.83345,0.88139,0.61569,0.64744,0.64688,0.47168,1.02842,1.20985,0.94977,0.002773,0.002773,0.002773
148,14580.6,0.87246,0.83601,0.87973,0.61411,0.65075,0.64677,0.4714,1.02937,1.21179,0.95,0.0027235,0.0027235,0.0027235
149,14679.2,0.86263,0.83379,0.88385,0.61477,0.65175,0.64692,0.4712,1.02839,1.21309,0.94976,0.002674,0.002674,0.002674
150,14777.4,0.86647,0.82526,0.88186,0.61559,0.65531,0.6472,0.47154,1.0296,1.21443,0.95015,0.0026245,0.0026245,0.0026245
151,14875.9,0.86072,0.81408,0.87887,0.61663,0.6476,0.64719,0.47189,1.02845,1.21568,0.94988,0.002575,0.002575,0.002575
152,14974.4,0.87007,0.80597,0.88302,0.61693,0.64936,0.64725,0.47157,1.02599,1.21573,0.94925,0.0025255,0.0025255,0.0025255
153,15072.9,0.85347,0.80952,0.87412,0.61626,0.64831,0.64714,0.47244,1.02412,1.21648,0.9488,0.002476,0.002476,0.002476
154,15171.7,0.86023,0.78895,0.88225,0.61874,0.6484,0.64748,0.47342,1.0212,1.21691,0.94785,0.0024265,0.0024265,0.0024265
155,15270.4,0.85088,0.78554,0.87702,0.61868,0.64662,0.64775,0.47387,1.0204,1.21737,0.94753,0.002377,0.002377,0.002377
156,15369,0.86087,0.78021,0.87875,0.61938,0.64772,0.64801,0.47501,1.01889,1.21983,0.9472,0.0023275,0.0023275,0.0023275
157,15467.5,0.85224,0.78418,0.87822,0.62116,0.64758,0.64772,0.4751,1.0156,1.22129,0.94633,0.002278,0.002278,0.002278
158,15566.1,0.85922,0.79393,0.87905,0.62075,0.6484,0.64843,0.47536,1.01407,1.22033,0.94593,0.0022285,0.0022285,0.0022285
159,15664.6,0.85243,0.78112,0.8773,0.62073,0.64246,0.64892,0.47692,1.01268,1.22265,0.94551,0.002179,0.002179,0.002179
160,15763.1,0.8477,0.76613,0.87476,0.62181,0.64133,0.64901,0.47608,1.01123,1.2208,0.94498,0.0021295,0.0021295,0.0021295
161,15861.3,0.8449,0.77186,0.87663,0.65339,0.60728,0.64864,0.47649,1.00947,1.22034,0.94473,0.00208,0.00208,0.00208
162,15959.8,0.83395,0.75738,0.87394,0.65293,0.60883,0.6488,0.4764,1.00793,1.22305,0.94429,0.0020305,0.0020305,0.0020305
163,16058.1,0.83454,0.74504,0.87375,0.65664,0.60997,0.64852,0.47783,1.00398,1.22436,0.94334,0.001981,0.001981,0.001981
164,16156.5,0.82596,0.73894,0.87489,0.65691,0.61056,0.6484,0.47738,1.00336,1.22797,0.94311,0.0019315,0.0019315,0.0019315
