epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1732.53,0.84636,0.84176,0.54203,0.85457,0.70905,0.58688,0.62818,0.40734,0.71992,0.5784,0.63079,0.31356,1.13823,0.94504,0.94623,1.02636,0.00058925,0.00058925,0.00058925
59,1762.35,0.84127,0.83877,0.54009,0.85412,0.70548,0.59738,0.63632,0.41327,0.7071,0.59788,0.6382,0.31727,1.14242,0.93123,0.91994,1.03195,0.0005645,0.0005645,0.0005645
60,1792.3,0.85843,0.85658,0.55407,0.85741,0.71287,0.58448,0.63056,0.40523,0.7104,0.58246,0.62954,0.30237,1.16801,0.97031,0.92617,1.03912,0.00053975,0.00053975,0.00053975
61,1821.99,0.84648,0.83913,0.5395,0.85628,0.70452,0.60549,0.63663,0.4115,0.70765,0.60494,0.64105,0.32157,1.15487,0.94539,0.92794,1.05103,0.000515,0.000515,0.000515
62,1851.92,0.83395,0.83578,0.52793,0.85266,0.68338,0.60452,0.62631,0.40227,0.69966,0.59193,0.62827,0.31046,1.14043,0.95208,0.96676,1.03482,0.00049025,0.00049025,0.00049025
63,1881.44,0.83329,0.833,0.53497,0.85262,0.69641,0.58837,0.6282,0.40259,0.69621,0.58993,0.62926,0.30421,1.1555,0.98337,0.94442,1.03521,0.0004655,0.0004655,0.0004655
64,1911.2,0.83273,0.83047,0.52881,0.85172,0.72764,0.5832,0.63577,0.41065,0.73626,0.58075,0.63831,0.31248,1.14633,0.96815,0.93412,1.03095,0.00044075,0.00044075,0.00044075
65,1941.1,0.82679,0.82481,0.52755,0.85066,0.71445,0.59889,0.64028,0.41832,0.71533,0.59963,0.64321,0.32313,1.11741,0.9458,0.94533,1.01761,0.000416,0.000416,0.000416
66,1971.35,0.8211,0.8244,0.52103,0.84983,0.70633,0.58246,0.6326,0.41216,0.71498,0.58135,0.63625,0.31727,1.12707,0.9541,0.95996,1.02337,0.00039125,0.00039125,0.00039125
67,2001.21,0.81965,0.82519,0.52183,0.84958,0.70896,0.60015,0.63715,0.41406,0.71107,0.60042,0.64178,0.31816,1.11914,0.95701,0.92726,1.01653,0.0003665,0.0003665,0.0003665
68,2030.84,0.81496,0.81614,0.51655,0.84875,0.71937,0.5937,0.63441,0.41296,0.7287,0.5944,0.64039,0.31703,1.12407,0.93948,0.918,1.02186,0.00034175,0.00034175,0.00034175
69,2060.53,0.80812,0.82364,0.51543,0.84754,0.7143,0.58743,0.6351,0.4131,0.73286,0.57711,0.63702,0.31709,1.14992,0.96169,0.94891,1.04558,0.000317,0.000317,0.000317
70,2090.19,0.81108,0.82067,0.51957,0.84743,0.71303,0.5913,0.635,0.40854,0.71008,0.59075,0.63126,0.31072,1.16249,0.96187,0.92959,1.06202,0.00029225,0.00029225,0.00029225
71,2123.65,0.76847,0.80719,0.48213,0.8409,0.72094,0.58633,0.63474,0.41624,0.72659,0.58811,0.64403,0.32848,1.13428,0.93845,0.94483,1.03678,0.0002675,0.0002675,0.0002675
72,2152.17,0.74634,0.78469,0.46011,0.83585,0.73461,0.58485,0.63917,0.41959,0.73819,0.58504,0.64513,0.32542,1.12368,0.93904,0.91643,1.03453,0.00024275,0.00024275,0.00024275
73,2180.53,0.74431,0.78715,0.45794,0.83454,0.72512,0.59738,0.64028,0.41478,0.72903,0.59787,0.64502,0.32616,1.13908,0.94421,0.90937,1.04319,0.000218,0.000218,0.000218
74,2208.46,0.74483,0.78527,0.45759,0.83603,0.71789,0.59038,0.63653,0.41542,0.72075,0.59517,0.64461,0.32572,1.141,0.93951,0.94547,1.04607,0.00019325,0.00019325,0.00019325
75,2236.32,0.7322,0.78491,0.45096,0.83297,0.72849,0.58246,0.63823,0.41428,0.72402,0.57693,0.63655,0.31571,1.152,0.94517,0.93668,1.05785,0.0001685,0.0001685,0.0001685
76,2264.09,0.72455,0.78083,0.44944,0.83295,0.73004,0.58393,0.63976,0.41853,0.73314,0.58191,0.64212,0.32224,1.13317,0.94986,0.93523,1.03931,0.00014375,0.00014375,0.00014375
77,2292.06,0.72629,0.78266,0.44823,0.83123,0.72949,0.58338,0.63922,0.41971,0.7459,0.57011,0.64197,0.32138,1.12873,0.94452,0.93478,1.03306,0.000119,0.000119,0.000119
78,2319.99,0.71995,0.7781,0.44247,0.83228,0.74123,0.58338,0.64361,0.42114,0.7371,0.58069,0.64357,0.32431,1.13213,0.94793,0.92547,1.04674,9.425e-05,9.425e-05,9.425e-05
79,2348.11,0.71782,0.77807,0.44572,0.83192,0.74563,0.57748,0.64279,0.42333,0.72803,0.58795,0.64611,0.32641,1.1237,0.93894,0.93842,1.03793,6.95e-05,6.95e-05,6.95e-05
80,2376.29,0.71831,0.7733,0.44409,0.83136,0.7334,0.58467,0.63872,0.41896,0.73178,0.58338,0.63958,0.32193,1.12935,0.952,0.93841,1.03777,4.475e-05,4.475e-05,4.475e-05
